c_obs,k_obs
0.012743613996570844,-0.01188091654669683
0.00799253196129325,0.06289340245363469
0.009463150569821778,0.002905907805483177
0.01178592518421816,0.006507656189484918
-0.00818507484586637,0.0011591941475552858
0.0005090741652355518,-0.08060715051613158
0.02385993742106117,-0.030932697054446196
-0.011619467385890533,-0.08215286017716869
-0.007055456214727397,-0.0460101650781246
0.011970206980213977,-0.047109727105223154
0.003506285099476338,-0.05519226012030504
-0.009701814997243244,-0.046889477557005205
-0.006135498967762629,-0.060616891919756256
-0.01630254591419364,-0.1160229911587777
-0.013131232858789931,-0.1379954479374448
-0.011862304470386891,-0.16290483493805957
-0.017102377566092692,-0.04552200947849212
0.008641912025280429,-0.05874368367647684
8.122913936381513e-5,-0.08615086445872602
0.008462047323246971,-0.033740632787767934
-0.0027663605909543885,-0.04065516432755932
0.0005820289768261088,-0.09938593324505587
-0.007265786689893942,-0.07094755398471418
-0.006086231571630868,-0.030247457925813657
-0.010481391191446364,-0.004774984422693589
-0.019609839687355024,-0.07764087639197845
-0.010675244821393638,-0.13169544767376834
-0.01666634613572221,-0.08936080828090273
-0.011388015417694375,-0.09083193770791213
-0.0053000045981065735,-0.0694855226802235
0.02286296734320542,0.05956798861351496
0.03429256132678985,0.15461001278356623
0.043986014316965784,0.34530809851808164
0.053323867808120796,0.4287529226970772
0.03320829454255593,0.3998151807076471
0.05258587019492525,0.38987344877216373
0.0681999682536053,0.4567544659446359
0.05118099970233124,0.4999747072341378
0.062041869860635944,0.484584490403563
0.0281477085797075,0.5202995946163077
0.024527682336423842,0.4446579709605275
0.03611612123435804,0.3246670138202335
0.021259218899483897,0.2924603871768601
0.004075639813167748,0.1749259659262226
0.006663861543453577,0.09890547497335622
-0.002649057078856409,-0.00891809019559895
0.020280974744448475,0.0467500682153262
-0.021794830315635748,0.072297547803665
-0.04039469606811481,-0.23582409352880745
-0.03968573853147746,-0.2980704617665227
-0.013798000728069755,-0.28935163249848095
-0.011040194865886685,-0.1803055879469826
-0.006055614638376288,-0.15361953361260386
0.016745518769206113,-0.13845597181845848
0.05330691480606546,0.188880019132991
0.04083231559983512,0.39119849944172863
0.065289366354451,0.4516496272285283
0.04491457352197739,0.5408125903520129
0.04746267026709119,0.53661064119275
0.04151537936714886,0.5176452674286869
0.02831179931207207,0.2634224179415249
0.026256615860133812,0.14824894832879587
