c_obs,i_obs
0.0020327706830074598,0.0034749586965245297
-0.0008110431272170858,0.016987614758906505
-0.00465671278077308,-0.029060208305193992
-0.0007490098277957622,-0.0036613656481897542
-0.001936841387645065,-0.0005638238069620703
-0.004974852949372863,-0.011725182362581158
-0.0013222971150030332,0.009064638451940851
0.0069126627484928805,0.019694472719086545
-0.0028845581912923563,0.006489210918644569
-0.0017982617673537372,-0.013299196305117155
-0.006816651298252405,-0.03524721367390374
-0.010553794857991999,-0.038599674982431796
-0.010097416825799486,-0.05328160723324657
-0.02095669684709912,-0.06674858176112719
-0.027557334103688644,-0.09476490415090771
-0.022016796530309718,-0.0865611405392428
-0.03202880871342076,-0.1197559375420951
-0.04379130152504086,-0.14967560685499268
-0.05155730262497772,-0.1688182899564554
-0.05454707201702119,-0.1725842598588669
-0.05870521842768491,-0.1423696085085738
-0.0473427780556118,-0.09934005904710623
-0.05808788972375479,-0.11596069744876182
-0.05757104969672457,-0.09197969012170477
-0.059398903741352295,-0.09595607128618878
-0.06196370048293468,-0.09644848783556022
-0.061113266103112886,-0.09529676414709255
-0.06910426113940801,-0.12827070729279466
-0.07601461217065324,-0.10126272951970333
-0.06760804852252741,-0.08927747164527305
-0.07792091014231864,-0.09364047027147694
-0.07081577729369638,-0.036694791038664215
-0.07144330741534294,-0.02838358725529986
-0.07156058611484283,-0.047225710423219096
-0.06712649609280114,-0.05258526260351616
-0.07880668926442616,-0.05803385021165037
-0.06542267195833386,-0.005686258960393138
-0.06554373811300714,-0.022399985369744992
-0.06273861031922413,-0.009501479854133762
-0.06203031567568403,-0.01927246093818485
-0.05839397004255123,0.0024038454664775987
-0.058504952051595525,-0.025018289226661928
-0.05367129058169193,0.015271338707379581
-0.05075773152178353,0.00036531579739323814
-0.05820977481260982,-0.01428872109397797
-0.05799871898582044,-0.019263622372509587
-0.05107274594268437,-0.021879259715066334
-0.056661656283022804,0.0025355355082324264
-0.03899423050584235,0.03518003115696082
-0.037391978478152274,0.06117129064727838
-0.03422654225488878,0.08196945256313434
-0.023997234539318565,0.07665848093084666
-0.01429646054026246,0.0768090329830982
-0.024778520616717568,0.057769332997511615
-0.024492361524993723,0.04765385730176798
-0.02546896208873083,0.009206040394589906
-0.021003263260736774,0.021155542741823987
-0.027332739737263405,-0.026827378521902936
-0.032776382680027936,-0.027473773648943146
-0.03137007920237903,-0.02516952221753139
-0.02598972981955906,-0.004310522310129647
