c_obs,i_obs
-0.0014729867972051388,0.0006027175845356572
0.005152178803296407,0.012468777413879292
-0.0036604667789923184,0.0033011826067905086
0.0011242971878342345,-0.015664218114843413
0.0008807543653594318,-0.009158925852161189
-0.00747871643179312,-0.03088560942923242
-0.011225478505221157,-0.017402379002689018
-0.0018201427906522514,-0.023964642238678745
-0.01265571807671705,-0.03851882411704878
-0.01647612752614431,-0.04393208746003568
-0.00965226611647929,-0.025764254077291847
-0.010616673274159771,-0.02222465061176952
-0.01010107846094596,-0.007745933209014948
-0.008537830658321482,-0.005298762682599245
-0.006018881482161516,0.0001926052601513758
-0.018527772738321888,-0.04952127545504641
-0.022517212609610725,-0.06829530834237907
-0.010626946564628635,-0.016716075744625993
-0.01701776644537315,-0.046427425306790567
-0.01954847480448866,-0.03471118507658408
-0.018448337819013894,-0.003766924966120021
-0.02078979798217721,-0.01191586715950857
-0.01785079315118005,-0.042278308723732554
-0.022660034478808818,-0.028937964224565144
-0.021329255124423456,-0.03274674321744758
-0.021187753723552895,-0.018505588340957963
-0.014912623738834712,-0.0026718015621475977
-0.015997176444489874,-0.004827059448921642
-0.015504258142308294,-0.006520653632942631
-0.01999452338077263,-0.04788677562991803
-0.024544921685494037,-0.05483816376969715
-0.033069776241964784,-0.08796908139337364
-0.03804497096837381,-0.10393291689101951
-0.0425272815470863,-0.10213728811667536
-0.04057309202701155,-0.06545476114680697
-0.03931916008138721,-0.058821942274261435
-0.04279494037332765,-0.06111502822012331
-0.043277487431325465,-0.05323369948934244
-0.044877479185262026,-0.06642856714775217
-0.05894111496644323,-0.13381829063935785
-0.05899186832092734,-0.13579703193401382
-0.06539489740751903,-0.10170029203031945
-0.06542354938099168,-0.11231743295990723
-0.0677041028782347,-0.1037190898745648
-0.0716238856950219,-0.07982641262665098
-0.07365100110470887,-0.1047118477128033
-0.06250442473504957,-0.07322745968293123
-0.07050203228909532,-0.06233502122258191
-0.06673918793771129,-0.0547011054228714
-0.05952586674398827,-0.019608906012273518
-0.0683281434940588,-0.043878683757708405
-0.07261069081075372,-0.07135019175686025
-0.06444284792086585,-0.03773033041178415
-0.05918222103082207,-0.004837939577448361
-0.06413216730337216,-0.01643190454530242
-0.06230227237051134,-0.020897079963457948
-0.06609542199013756,-0.03783973025066309
-0.06818443410157903,-0.06844629800750593
-0.0583117075323051,0.0025248231066349203
-0.05188207454052853,0.014288401957822494
-0.057574860977080665,0.015620690778144736
-0.049657492376941274,0.030021983093829988
-0.047027246606680714,0.0459514892998519
-0.04394660269056608,0.01771981122932662
-0.038054983550548996,0.05016438570718022
-0.04024141549254506,0.029263183309773084
-0.03170348219109518,0.05361029691760008
-0.022088376544489956,0.0766741046431594
-0.02797775251316838,0.05454682689779101
-0.024061711789727165,0.04696705050501495
-0.020187793102494467,0.05338990530335639
-0.013755268975593144,0.05765361149823242
-0.012381056695165338,0.06063810187259492
-0.006205024537824794,0.06904680294708751
-0.007517746116267607,0.07979316396761583
0.0021214797161131635,0.0883610582577113
-0.0008241133310750198,0.06566025134522409
-0.003380429971399716,0.03983939190968816
-0.007909972353775467,-0.020524980825919158
-0.010980307232493691,-0.009470033105625292
-0.010611686355025497,-0.004308816501303901
-0.0124834111161946,-0.028862000513655405
-0.011974875601003373,-0.035352557254836124
-0.008692965412085593,-0.028072995291010247
-0.013215970219051685,-0.0034785150189516785
-0.006678328240348418,0.014404710275156104
-0.0032437369313511287,0.0031238737163468886
-0.008934519430804103,-0.014594437764287243
-0.009204096415942368,0.00430912862955523
-0.006064060696072716,0.03577029153401816
-0.0018789814121966744,0.021259667785704657
0.006161744958037473,0.06676322863442459
0.009590180073426742,0.08698610730216864
0.009752209779876935,0.05567591695252138
0.015259718503129408,0.0828058668284158
0.017579867045650545,0.09433068762453789
