c_obs,i_obs
9.142425133147437e-5,0.0055270422324773935
-0.009436891108322888,-0.02000430299235908
-0.005330022634471854,-0.020443856070855027
-0.00846717672680668,-0.03257150070753256
-0.0017843009121539777,0.004292801026948476
-0.0036441925067713385,-0.005402317253236184
-0.00034305254277736683,0.0027441848537483626
-0.009237818986713865,-0.05595309680388549
-0.009724115615876942,-0.06705789625479722
-0.016418215430229147,-0.03117300238045285
-0.020312681610156296,-0.0612169662077418
-0.0173612886010557,-0.037217753516364555
-0.014482353914582208,-0.03462849347262931
-0.022449917972923734,-0.04361487453756907
-0.019747904520907123,-0.015898900144330836
-0.005812078455444173,0.049146363840179605
0.0024864365521112598,0.044954817251923955
-0.003980836178709729,0.03826754232197044
0.0031745405192785572,0.06044530415826365
0.0013002786941524024,0.033847895516830546
0.004248107008413469,0.08134831610227503
0.0019606703359847915,0.07338464878434563
0.005464714366561761,0.04468669887388879
0.009772340555081593,0.029422014057441413
0.008055152129112434,0.005878168556452001
-0.0011574740176393894,0.008890478294812354
0.012836987752406194,0.01920689163467194
0.008088442359231802,0.06192333283299231
0.008732511578855432,0.012571769390877618
-0.0018019716195777562,-0.03348947096270362
-0.0035754587739133016,-0.03438258043209541
-0.0008469494296138198,-0.05616923629268402
-0.006611513021479589,-0.05357181606867902
-0.0024512553245380183,-0.043596008316481354
-0.012642576769403077,-0.06972216238394595
-0.009924277184441695,-0.02745958496021176
-0.018092765176464343,-0.05010741591570476
-0.012819206646191692,-0.03939147646625615
-0.009878202569193889,-0.021857547535677598
-0.016328927963140782,-0.05908737598274148
-0.01867389072625901,-0.05978808601857578
-0.02463367807020993,-0.06229333028731063
-0.02826600566472782,-0.10311767084289312
-0.04085930030756451,-0.12003040513335944
-0.0366519728727898,-0.07295913563405411
-0.040046604372175235,-0.061164214968841904
-0.03908897624935093,-0.07676331081426391
-0.04329482614327402,-0.0996132014724011
-0.05411692957735439,-0.09855764131749223
-0.05057655304107498,-0.12175038560314533
-0.056108699523295,-0.10408166633436905
-0.04893233160197332,-0.06776280102888664
-0.045660584148843636,-0.043442599836065965
-0.03436830428988731,0.0023295387205154987
-0.04167211018585706,-0.022736593222932328
-0.04640003166270312,-0.04286950889015156
-0.04785508030379699,-0.004185472169315889
-0.051113098329977034,-0.03384613579299715
-0.03854985932903249,0.0030162809027670613
-0.038477286603417454,0.01762364488849806
-0.038265425562813156,0.045728306203343144
-0.028076995750189643,0.020184024374706146
-0.022066873258170368,0.041651753039707314
-0.026931746202592213,0.036693835159769594
-0.027067654461196022,0.026599180942219247
-0.01215528736223477,0.04208191774296308
-0.012059887009682588,0.07769655875486409
-0.0070197811679819505,0.07481741926465905
-0.013334648312399142,0.05759177086435211
-0.010743795453728902,0.04023943429066133
-0.004281400943060867,0.058852777971545304
-0.0014263713484177157,0.049037200123216385
0.0020685561978027243,0.06398693025224675
0.0016789712916189514,0.06642569293679669
0.006663540621357681,0.05454743075771554
-0.0015339093437614628,0.031286984488234755
-0.002177152986272258,0.03181539483896319
-0.004992727747927453,0.0021763409096640625
-0.003890616605772621,-0.012140639231137694
-0.0014546373524822406,0.012251233582650813
0.004593334084955226,0.020610906077766063
0.006420492464437078,0.02263563805305764
-0.00020688910050275513,-0.007840128032398471
-0.004274145446188897,-0.026282495909218478
-0.0025699121538624967,0.0031983384272312393
-0.0017254290893643472,-0.034328071106059864
-0.012827031739214081,-0.0634704660867727
-0.010211837426585444,-0.041035250593987625
-0.013838479750460826,-0.04813763995058311
-0.016112020612235906,-0.0744742815504992
-0.020675173143089216,-0.08315338707348369
-0.02206330552737998,-0.03784066203905092
-0.013018679865890505,0.008941126453871018
-0.008198662843768665,0.01456699020237253
-0.00412130100829438,0.0499519247563205
-0.006900239484783268,0.0351839270143217
0.0024818575848882182,0.03762715851187897
0.00038731940262504025,0.04077821086336985
0.005069303617532192,0.05074624444765994
0.002164695497242111,0.023363150582122613
0.0001794741526528255,-0.00582467687608951
