c_obs,i_obs
0.005132182295840952,-0.0018031285670594426
-0.0033710906811980027,-0.018762430244176138
-0.0029976439297578436,-0.02982609891560731
-0.006415295586482807,-0.02352537132140316
-0.0035046177904445143,-0.015127004930617506
-0.0023284351469607207,-0.020387844721674493
-0.007163600611108507,-0.03156483296858695
-0.009256621273023867,-0.0578632162410393
-0.01288865907156706,-0.03135048477259664
-0.013404102237509699,-0.030889001667439298
-0.013003025838269011,-0.04938973056856923
-0.024407548153137747,-0.05367072343416628
-0.02446227796905451,-0.07377682038139122
-0.030992809716740965,-0.09703533854739582
-0.031103951074849527,-0.07966075736337906
-0.020664768966316707,-0.012636763554124878
-0.025562025160199633,-0.023837085018369685
-0.02199045894526201,-0.013019045004568061
-0.013779763852907405,0.027175046600013325
-0.010440300885490722,0.074894315371049
-0.0069987300302775035,0.05717831834944
-0.005449392840395635,0.03955576688888665
-0.013378094665223182,-0.03264328239474975
-0.016089232964764257,-0.027689262704868167
-0.01844508869211296,-0.045826563149223176
-0.024826262525665534,-0.03351036712908078
-0.018539919144963342,-0.0024300367859134272
-0.019599679444345045,-0.006186052390318391
-0.01010747615232921,0.0373683941432664
-0.010280066578012965,0.013228615695495709
-0.0019405291784491715,0.03996236307824633
0.0013458468702328957,0.06979691899923285
0.0021580455893389526,0.0705135160211188
0.0029750478441056805,0.06217398841662611
0.0050915479869154835,0.037763402469116227
0.003948318646532796,0.03251170784650398
0.0019397216384868694,0.03629412546424064
0.002289887563999119,0.01675007295913692
0.008942144497145551,0.02468668015135836
0.01808908012760667,0.0803218642378767
0.02349290073753369,0.08306999239122241
0.024727600371513243,0.10478242080751549
0.023314790675808047,0.07237081375093174
0.030467760950716485,0.09329347432883908
0.034910322509147475,0.10234502927195376
0.04092011207376355,0.09179070222178529
0.04320683189724732,0.09894116307513352
0.03833015314089549,0.06521168636963011
0.03568926647617989,0.055803469935060905
0.04129927278096152,0.04060396762498012
0.034538821816481234,-0.00652032995243294
0.028154403658795603,-0.008187135801716556
0.024418064640917368,-0.014213588527225682
0.027253774851205656,-0.030408312234442538
0.019269558284092166,-0.036703757953554045
0.02693245710882058,0.004548793453933964
0.017041477492740136,-0.014698805608008635
0.012491029943593268,-0.03390037042791036
0.02213612439481784,-0.009693302250653082
0.010444861196760467,-0.05007544700149609
0.014332199298671683,-0.005443506014012899
0.024572197014232217,-0.004691243307456507
0.01424633885528389,-0.014456083516263055
0.0031762599936298276,-0.059210750832221715
0.00425511552264487,-0.05230741984994836
-0.0017874605180301679,-0.06533481710718285
0.006160014164433623,-0.03033564733014454
-0.005300472338604774,-0.030707975491408936
-0.004929997262455945,-0.04719437623622239
-0.001768520217749211,-0.0557738189316013
-0.009367561410552684,-0.06190921195547356
-0.004357677529741467,-0.028628096897746994
0.004088781221291858,0.001333667172624823
-0.0006989215121731623,0.0016328861074636058
-0.0012107315242480246,0.007900647211385708
-0.0016981459313133555,-0.010557878622190353
0.00019673455095319366,0.022966887143596505
-0.008011638965343258,0.004278879646462951
0.0045340089148211676,0.03702760425700855
0.006418513807230841,0.03908118255845176
0.0024047820549335276,0.01464023353086305
0.0014929074867626004,0.013000983929344106
0.004768323789941562,-0.009948273120704159
-0.005871943752546755,-0.03064484407444694
-0.008365946205439293,-0.06447601526478008
-0.01069466588977826,-0.05124258699308495
-0.018319549344260156,-0.056342057596395864
-0.003395094894136675,-0.02676473521805444
-0.013801023387218095,-0.041607513407085184
-0.0175380373061652,-0.056963029279474955
-0.02094421462732549,-0.0745981642991642
-0.028433953363311563,-0.055838977116298705
-0.01985615148725722,-0.030392689259711832
-0.019347031266658144,-0.032416425567742935
-0.02690750473171676,-0.05968647593261567
-0.02345069250627891,-0.05054355250514332
-0.024404426077257145,-0.05492157245130785
-0.027926956997034992,-0.0437481261412051
-0.02581819826385487,-0.0077961633907974275
-0.025799420936294695,-0.05024364405370677
-0.03941652766627461,-0.09151792946520196
