c_obs,i_obs
0.0015178423404866748,-0.0020828940627929957
0.00065696904122074,0.007944906337268577
-0.001682554166630019,-9.042170589618681e-5
-0.002416472193912918,-0.0012093594859035454
-0.00782422063918121,-0.04547460590300428
0.003334357477400144,-0.017422481519887456
-0.005763471137599807,-0.041664871395839645
-0.008267626628243756,-0.040849074204106155
-0.010331036547702378,-0.03280282805471077
-0.017197704498495336,-0.07244726420479787
-0.025648905683398154,-0.10086577370226292
-0.03293151040693375,-0.1174796164363864
-0.04180582136977387,-0.13900294196330265
-0.03535009189151316,-0.08841575951596231
-0.04043851073641107,-0.11231176110062774
-0.04854985052024334,-0.1375436568816595
-0.049403925977909074,-0.12276633165789765
-0.05313993933764766,-0.11663658498560535
-0.05232654637390296,-0.10294064346993514
-0.049584671940457695,-0.07060745331090758
-0.0481923689019345,-0.05659047444036313
-0.05370584120955961,-0.04700761806859445
-0.04314264979507647,-0.008112038878310208
-0.04217818139603651,0.014125300733879662
-0.04538939434650349,0.00370886222605031
-0.04232959442700624,-0.0089363650685141
-0.04737154789942638,-0.02253900693088577
-0.043865079204664995,-0.008591216516792895
-0.04659292352191925,-0.025290503411984733
-0.0509108348639701,-0.06175397323271811
-0.047610527896547475,-0.030179879912344162
-0.048154210511007704,-0.009758587786406732
-0.03940805148517756,-0.028652208031772982
-0.03863353928064158,-0.026129881860893683
-0.04610925239111752,-0.03739924744926491
-0.047045631582260244,-0.055450397063554924
-0.04772145759705851,-0.03656766371016051
-0.05086558443082922,-0.05607888444713236
-0.06167483201332418,-0.08246280144512944
-0.056052640247294415,-0.0748853220982046
-0.06141306858654872,-0.08950703376577074
-0.056174944654881744,-0.047338653968467176
-0.053279659982381815,-0.03173693874123976
-0.04789835693659288,-0.014638873813039304
-0.04533327237032888,-0.004192322998243325
-0.04871700612495577,-0.01168718475858321
-0.049202337974175794,-0.0068347441181194225
-0.0429332983141848,-0.009045166272364359
-0.042234973021490714,-0.001934521590716646
-0.049157872775997764,0.0037162232886789456
-0.03408635930667929,0.0406162540058538
-0.034161034964873244,0.0053979077789618225
-0.033751199125534335,0.022453591450666294
-0.03725575095387475,-0.014906853677386749
-0.03170292479430328,0.03258055667288395
-0.03811212721528411,-0.007689888109055205
-0.041671020104054435,-0.016877930796602884
-0.036324878167887216,-0.025431815821774482
-0.04048784093452549,-0.04569693846662406
-0.040325197138561,-0.03976494516177388
-0.03491708704327264,-0.020853248650888362
-0.04644560901615005,-0.06028496306198009
-0.03315092461088565,-0.013753741323597659
-0.035580421278519764,5.1056268534408963e-5
-0.03577323153702629,0.004804426728668605
-0.029349603323169934,0.03365841994192294
-0.03986176989719266,-0.017697108189861466
-0.03258897974877688,-0.0012408081972539963
-0.028331471232312208,-0.014056575315748485
-0.03587200816530169,-0.0031935391533299906
-0.03427194040053007,-0.014129173063691257
-0.027594928239942352,0.03977074699293586
-0.023599017489532467,0.028015496586447357
-0.024937826562443224,0.027847112279812538
-0.02095466771431751,0.000868052202087828
-0.02096016145157,-0.005138575866430123
-0.023175502659892804,0.004736762016544641
-0.011505042270743653,0.02754888464091531
-0.017738334914672884,0.022670077652112014
-0.02079449786430024,0.02010826471676586
-0.02146074520035751,0.004778860352848403
-0.02241355930743597,-0.03511408712025989
-0.019712800805466422,-0.013082592025679048
-0.013464040697187884,-0.004275131201557982
-0.019268957440887843,0.02704572235923754
-0.012223291295136683,-0.009902697619997392
-0.0133096652242439,0.009394198271876143
-0.019006036672911772,-0.04655708337354276
-0.028767360654877696,-0.05325837546372819
-0.030309569567950785,-0.05054876382034533
-0.026199023569251797,-0.03903531791095311
-0.033266040148155956,-0.08199769274716115
-0.03662736350987526,-0.07158861572999732
-0.028538609993571967,-0.03823836326548561
-0.020008551335238656,-0.008255429559407605
-0.03140392612665904,-0.02684054251291871
-0.02621187247888451,-0.04148542903566668
-0.03892444615935493,-0.04075327171462037
-0.032505559083582256,-0.04368591211559614
-0.03640636814250592,-0.053833829954994895
-0.040376936484966645,-0.04866423576131007
