c_obs,i_obs
-0.0074927629274030225,-0.0012711929501614497
0.013078888277220748,0.05397588665907338
0.007452840381927932,0.0688312061707848
0.006756627348876314,0.020619826879413803
0.0014427218059592786,-0.00161893139617669
0.0029813315265692173,-0.01131062424584953
-0.007624448481551643,-0.030876218647953677
-0.0073098893174540006,-0.05159186795884413
-0.003046642942375383,-0.05748470152443325
-0.013760213962106726,-0.06694480854256983
-0.017691205698797834,-0.0747261701084343
-0.015703895641796903,-0.047711017430163746
-0.002790998482933036,-0.006038248132651991
-0.002371863179920989,0.021965197890407028
-0.008639703789687831,-0.005049011186718549
-0.0007666862365529469,0.019681964459357926
-0.00787204086860932,-0.008743683972686104
-0.010725206408462862,-0.04316852129677068
-0.009981168783073705,-0.06631226271377957
-0.011901118116056736,-0.04575680858862488
-0.018167790558717513,-0.06310163234567853
-0.02225205947339135,-0.05984802795639119
-0.011469599384804428,-0.026251801848973567
-0.020738460392080254,-0.022225650557067798
-0.013074540185901425,0.003987386375738735
-0.018902759895629676,-0.019699253377920622
-0.022766194225951657,-0.03043518258176243
-0.015143148622579018,0.03001805092327711
-0.005260663194378572,0.03728963775010789
-0.003932902347620942,0.06380071065411413
-0.005057069198989231,0.029414300612002356
-0.011607211849844342,-0.020015515016203855
-0.01642920669249703,-0.042106421365413774
-0.013033560989434775,-0.02303246334921587
-0.014021126307305197,-0.02246031942237004
-0.017929238806884365,-0.025641881213952934
-0.014548475057354456,-0.024532286574109927
-0.011037947937452827,0.010068875254530842
-0.01313115893551293,-0.013216295227721315
-0.016995177741351238,-0.006070521251149248
-0.013864477776922908,-0.04895863874371711
-0.020283819025170576,-0.026070214274849953
-0.01715000174068527,-0.01001105096023514
-0.01562518052575279,-0.01347788820138628
-0.009398978671484131,-0.009588391046102695
-0.018346269064844427,-0.04515301588347323
-0.020649161549414808,-0.033387774020428994
-0.0132864072466895,0.002303107028181316
-0.01604279158242293,-0.025226430177056065
-0.021522867176500166,-0.055960869432939785
-0.030651095943565857,-0.061238883726005416
