c_obs,i_obs
-0.005965269493009743,0.002290677755799132
0.0020135407870271486,0.010042229568985102
0.0030037003631457667,0.025076975905803697
0.005327977471877329,0.03274387497637243
0.006369967548694776,0.040823140681045055
0.01714634698421832,0.059026404005099176
0.013456491515402909,0.06613410242378075
0.014607395784003599,0.028623952203596148
0.01982853431402968,0.054788346879424174
0.012685991622564606,0.02709053159678373
0.010611048683743485,0.002741490510028864
-0.00283020340992158,-0.06928927576549467
0.0005653470622549998,-0.056068139619258106
0.003923344831801055,-0.016939120991933954
0.002366935646101513,-0.040633468565262586
-0.013502174315469677,-0.05448779140370574
-0.0007561351490193088,-0.018259872912581313
7.820415500703077e-5,0.005508314594778199
0.004227012322660335,0.012829295674312102
0.0012297206787097502,0.010054803661570261
0.0034293076940818496,0.018910536531712308
0.005855390476827695,0.024480396707844437
0.01227696895741811,0.023757607849833655
0.0012347606343067774,-0.012296612918904578
0.006544013541860641,0.0014182366344271738
-0.0013312590173924618,-0.03391973076968915
-0.008776786308222193,-0.042109487466424615
-0.007997394538189423,-0.06632739213720998
-0.014503183726238909,-0.07207790298024737
-0.00889254566561902,-0.029579351389851613
-0.013403865165331595,-0.0334689968576368
-0.003703090945807042,0.006609532746623146
-0.0014809718234501039,0.026537197664437934
-0.002383660533204145,0.006357084151419446
-0.005927624605312527,-0.002020099362764478
0.001886214601833555,0.03877581874964477
-0.0007321750642941055,-0.006115492099580188
-0.003446871411210072,0.0064615525066828335
0.0005802231965375535,0.001751725360212577
-0.002825837051731706,-0.016022450373000208
0.0008231204874117482,0.033983610218327465
0.009559855099450572,0.07351571783286777
0.007732678751508591,0.06355354953320073
0.012116828927262999,0.05045912787664219
0.014275415026503275,0.04251212452320443
0.01452746367822265,0.042967332767422026
0.012900678855809115,0.028154418412155973
0.012819349316206766,0.0037544099737900597
0.011117945512601564,0.022207903827298835
0.008745824868100603,-0.0214514037586012
0.011537778945694733,-0.010253822769232871
0.007031373498373788,-0.03472068992493677
0.008851577838086372,0.009567986118167181
0.005057997549272339,-0.005743908263460566
-0.0029028885826011116,0.00031626274060820897
0.007533568275192674,-0.0005246222353817252
0.0014054868582505918,-0.026852272322977225
0.007689602746537764,0.0004899122588980807
0.0061954101739876595,-0.007261900542974861
-0.0023622261028680208,-0.027604928156204765
0.006254763603006565,-0.02170977069514591
-0.0014145619188193305,-0.044397937766222424
-0.015598683009463868,-0.08039387583751775
-0.017638432827552508,-0.09221476818256541
-0.02645598100031229,-0.12830142315266926
-0.03459922564910419,-0.13374876542183348
-0.03277998214417892,-0.13751706261101893
-0.038241704177232834,-0.104608589333142
-0.04207432922450143,-0.12304721075166423
-0.0388009797535185,-0.110636545751337
-0.04881785527125333,-0.10587986338298101
-0.04911791985264802,-0.07508523468339154
-0.04460551324476705,-0.06381245273041967
-0.046401407246896606,-0.040157443131345366
-0.041307394995281785,-0.015282015777079352
-0.039784798151495,-0.021273985428743685
-0.047448021928355455,-0.04785188167414916
-0.03476934045879125,0.0040574652985058465
-0.03918971212295775,-0.012744053145831238
-0.038141332097815145,-0.009379081420552857
-0.03855701222810673,-0.02206078296810083
-0.04205109520765005,-0.0501028586236303
-0.05040954388369732,-0.07460704569124262
-0.04502555663402963,-0.04760423231968653
-0.04054280953902223,-0.027480267783640606
-0.03854339361997381,-0.026086776194301147
-0.04621084459959765,-0.03421646637947649
-0.03927147737300592,0.012935777898633646
-0.040169554420111164,-0.008192425341473988
-0.03887988440768978,-0.008346618348256514
-0.03667801935489524,-0.015948920058175876
-0.034154696429499136,0.02512233659198895
-0.03389043919278721,0.00820870554243481
-0.027889522870587238,0.016704711825617245
-0.025366906923776314,0.023168393330962284
-0.015835138669275224,0.06773918782778975
-0.019429508473349774,0.05429810393278442
-0.017938095982836855,0.03553264627668843
-0.02649488761293823,-0.033141334749935365
-0.03325708013548339,-0.054224395419279064
-0.018588946696677038,0.0006494518257445737
-0.028372834862649736,-0.033710123087650146
-0.025000718052003146,0.008221053411196314
-0.018913742085152098,0.022037936300271628
-0.014994193899942318,0.01824828203884855
-0.018011786225131256,0.0018327952952799718
-0.030702897172916056,-0.06648316407549197
-0.036036803383322304,-0.047491903727497654
-0.03342642599078596,-0.04033312185305544
-0.03469949736067683,-0.057595756260884215
-0.03142791667330698,-0.05652672460143606
-0.03867131008371986,-0.04529902778258664
-0.028014154797895024,-0.014009278036827215
-0.03145247726352247,-0.013239516556590392
-0.032043548179508205,-0.01829497756835087
-0.021442786154686568,0.014427850660006458
-0.02060019339716226,0.005233128228326551
-0.0302661538529884,-0.01852562518629644
-0.02838458171725539,-0.04156063383400684
-0.0341721215343268,-0.06885742288786818
-0.035452308500447206,-0.059109762498853
-0.03924932671002929,-0.06376104969178738
-0.037480207151446926,-0.050522253590961116
-0.03898130520821547,-0.027406857026436936
-0.03775169084974876,-0.03401760858323462
-0.03820460168754627,-0.01715829364076303
-0.03399630930559301,-0.016341127210692107
-0.04499596923566819,-0.06678471842457656
-0.044640119744887116,-0.05823892310929039
-0.043308141380374594,-0.04891314117493427
-0.046372425277888235,-0.05929033592937285
-0.04025238423196104,-0.025900838797465
-0.03894492473501668,-0.04539235486373901
-0.0488514221289579,-0.04996688713058289
-0.055927305222429995,-0.0647793278711489
-0.03515069635726916,0.01629270518882181
-0.042606726261719206,-0.006404954435074489
