c_obs,i_obs
0.0026631961146681184,-0.0010317023884135138
-0.0019294399614991115,-0.012295397042336707
0.0051417315322589,0.04451623665826332
0.005110967145536884,0.03978859286907554
0.008150145290704673,0.037084464721264476
0.015478457142057265,0.049577701216739115
0.010183830289050975,0.017321334805578823
-0.001731009672311124,-0.033008095631629486
-0.005741978567193197,-0.05329427499982401
-0.0044294391246042205,-0.040786143496652716
0.0005558399252099363,-0.010599560823716964
-0.005742211824578156,-0.019907506806147845
-0.0031125340219640457,-0.03726149821515229
-0.008844144840474766,-0.03873955363233459
-0.017523254925673738,-0.06232731274308193
-0.01149475395076567,-0.043292396209893426
-0.007113065086068288,-0.03694799874023665
-0.013623078411864858,-0.044581875588922674
-0.017610249673634372,-0.06148698341002636
-0.026596844491151985,-0.074991964997626
-0.0350463795568486,-0.11937649781194412
-0.03592045621925077,-0.1250035130963635
-0.041176345383102206,-0.12287878949894594
-0.050588521402363314,-0.12089824425148632
-0.04546667330121525,-0.10294974263486537
-0.05073662404265278,-0.10172516040298088
-0.042233046383669565,-0.08624853643114146
-0.05244079468464808,-0.07866645561254874
-0.06136375793449818,-0.11498965659288292
-0.05508366146519394,-0.08657776568555635
-0.06031696274717646,-0.10112612817719248
-0.06422933496558639,-0.10121373679483965
-0.06706841266083824,-0.1101360556776032
-0.07484709427983056,-0.12317346449907868
-0.07070797253288642,-0.10049711748685185
-0.07258033771585636,-0.08656508104229807
-0.07103574773371345,-0.05572507034780086
-0.06242654197634142,-0.044080334073971404
-0.061787358186591784,-0.043666692841044984
-0.06811715992078915,-0.041518477875569934
-0.074681349361266,-0.085965356808126
-0.07567426962675435,-0.07815310535123991
-0.0780097563091036,-0.07288852494541066
-0.06845140713849948,-0.030707029277073326
-0.0734067776148486,-0.06287169321575209
-0.07848962350251044,-0.05573857357486173
-0.08132747282653416,-0.09362410622139383
-0.07993272033315817,-0.07886957023494677
-0.08102289214425161,-0.0399812798666626
-0.06877668842654616,-0.005862487412868429
-0.07075601100537122,-0.03422261882015352
