c_obs,k_obs
0.01679876034240371,0.2470177748745706
-0.0012770653388642032,0.23135269886141313
-0.0008999913139747726,-0.03735983266841982
0.012595807447438075,-0.10794553278896687
-0.006135002214846429,0.08462425125429428
0.01973508616072704,0.06466650490342313
0.03346360653574049,0.10878917828646585
0.018908937965568758,0.3198111414188023
0.030406423421989317,0.2625431234763934
0.02884912663054409,0.24631365535406657
0.09581754472373685,0.38028605128225895
0.0730494402589635,0.8418182777170838
0.10373585962967369,0.8546656327612583
0.11468827195513244,0.8766598385333915
0.060058215308755825,1.0264000944065632
0.10810183734374132,0.6839735463232988
0.0732885968243187,0.8003810847999493
0.040740983102269056,0.7439334069508997
0.03884088681055705,0.4437966275795059
0.04253391186062813,0.4711977855861626
0.06836270741132691,0.46933093666085246
0.08501788488761382,0.7028527078389583
0.07332290656130082,0.8406418061856571
0.1066873593334286,0.81607291052254
0.11562991064155394,0.9736995220855647
0.11714462485591556,1.139192511620956
0.14074724324892784,1.1428297207229532
0.12857555463620213,1.367999016850331
0.13261673038825447,1.2394976342928263
0.12081700742094564,1.2550097113214678
0.07365573277889113,1.0529979507469707
0.08455329848448809,1.010726726122207
0.087478329583035,0.9222284424589365
0.08935828966161298,0.8539349007042324
0.07386151099818958,0.8632302603348873
0.04571333205990213,0.7885253389764821
0.06905022041235774,0.6275460255259487
0.07141399794914406,0.7127553051499109
0.07391726957710942,0.597305492052118
0.03144213049412677,0.6550187175480569
0.002297916118494292,0.32942557853886384
0.03453510378601479,0.11278496771413377
0.03410609118826588,0.36164855150873704
0.006011403382919989,0.26398470037209953
0.004296728985697634,0.22832420701420156
-0.0035406165708126245,0.06391906238881845
-0.01609219998398579,0.01554590532656992
0.004871951622341767,-0.056280238021209655
0.024603433866717053,-0.015429914432114606
0.02752221339492099,0.08058268947419969
0.04828034958961677,0.049430244273094115
0.05776834905896611,0.3835443656717318
0.04675558486663484,0.6412895469105347
0.053607187089198934,0.5970078278491524
0.06845218243517494,0.5447063364613687
0.0635909201686348,0.6841852088857383
0.05680536933357605,0.43925540264739843
0.05794086876109392,0.6328699506506494
0.049668856196400435,0.6260805306178139
0.03987079911268073,0.43710834352679134
0.020546205271721955,0.3646899388415381
-0.01982884335774494,0.2753726908264338
0.0048237715182530795,-0.07262496401568279
-0.02358158684183098,-0.06926039502292991
-0.038374456469834714,-0.20998256006960578
-0.02229998745059128,-0.4423050734836271
-0.029671791533176343,-0.25579411131209234
-0.033526872322365626,-0.23990385864183805
-0.047670619032996145,-0.4123729844307293
-0.033031074285718956,-0.36867796695043736
-0.038291038443102124,-0.2602405370964841
-0.0018075492893791798,-0.18386989911673213
0.024542016471663652,-0.10246732370010883
-0.019395358380513893,0.02135096312156861
-0.041588502848207407,-0.2328118501089893
-0.02800364756321518,-0.2883794462847734
-0.059537851276748835,-0.35389446707136163
-0.05301260827429664,-0.552114887256049
-0.045617052238210984,-0.5313334977177834
-0.03381798248324772,-0.5717176627499141
-0.022331729201214463,-0.3976895067733705
-0.020894591306583672,-0.21081974418677726
-0.030084855211703166,-0.13400329200063246
-0.02506672013177722,-0.25640500846601855
-0.014488346784176164,-0.1697140368146477
-0.014392170930873463,-0.15868824138342563
-0.024263678222653563,-0.008037260638845098
-0.043593836091664256,-0.2196744080604172
-0.052155453815529905,-0.2652476319859114
-0.05137621441496848,-0.4940248640832863
-0.042673241709252845,-0.5181181124392102
-0.03200358485000401,-0.46294636743120066
0.010910055686535958,-0.2433254390579783
-0.03053036393485458,0.007981314939313913
0.052539731913514715,0.019280918574776918
0.011519927487136447,0.239377867627795
0.0029601583133997706,0.15152398070351558
-0.005435651006749395,0.16185402157775655
0.021054735048781827,-0.03142414663095016
0.020596075213736582,0.07924984516755917
0.006036178127045547,0.20253917460783605
-0.0006024870474463113,0.2790930936409019
-0.004196932055226724,0.13300958344539143
0.0005455238446700249,-0.07807005618680551
-0.01879520784536893,0.04831620077573595
-0.025195722494753964,-0.15098988982654216
-0.004510406762649608,-0.19341161410328214
-0.029142489690802607,-0.22719427669808975
-0.026326892730588167,-0.25491270648218084
-0.01869751159344829,-0.3120970474550679
-0.05400274086683482,-0.3590047841634386
-0.062224557525939694,-0.4779361078338416
-0.061771969608577094,-0.43089341802315506
-0.05957264766514762,-0.6255176959601387
-0.023188132449491368,-0.6230980252657344
-0.06495330736973283,-0.40883645724701595
-0.048794897419296095,-0.5142589639588431
-0.013169975217828958,-0.2825482638542605
-0.028978762587454444,-0.21955904952395391
-0.05040194026984099,-0.20242048662516243
-0.07139134416884918,-0.5265055424473309
-0.04406597618402644,-0.5937374866820693
-0.027742579629109972,-0.48867403748494825
-0.032039772834784805,-0.24725732683740329
-0.0659765698519445,-0.3372358541556749
-0.08432838472138676,-0.5075748708140462
-0.08916722633994262,-0.7516018622734334
-0.07897028287286566,-0.9317887247057298
-0.06338692094657564,-0.8772764642441617
-0.08552947921516098,-0.7149482678061369
-0.1049726868388428,-0.8022941013834228
-0.11482157752504228,-1.0528864426660287
-0.11764011214873281,-1.139356934053489
-0.08128119366408677,-1.0794774792442021
-0.09760769343630148,-0.8508150302040135
-0.11380336225284335,-0.9367153929811298
-0.11948324142046146,-0.986884664111866
-0.12592348100996134,-1.05266931130383
-0.14829407536531286,-1.0340623861020461
-0.15052560517618702,-1.4588188115413034
-0.13666828568078773,-1.4696860639644789
-0.109777771666785,-1.351387711899717
-0.16009540307038075,-1.1459958104434078
-0.15916662730447784,-1.5169409300925294
-0.14154687031496727,-1.6499545321409688
-0.16696343609849382,-1.5101013713426514
-0.14897484701656286,-1.6098991775135023
-0.12883724970926408,-1.420152789168203
-0.11277477519345283,-1.335441301043449
-0.1186228297384265,-1.2296616186524225
-0.07084489220944218,-1.1080600962574552
-0.032217800509715525,-0.7119852826918222
-0.052677904305827326,-0.5689264356976961
-0.05818957601968212,-0.5139896248800452
-0.05932385049071312,-0.4964687229636361
-0.051334168586270094,-0.5025697680011092
-0.05889475041427057,-0.48045336913758446
-0.028823505094525623,-0.5413675845451522
0.006884889337207826,-0.1950141574967624
0.013699936740696885,0.012785130814331764
0.02228340846275401,0.10473486420126242
0.01020939460603391,0.09959973226328153
0.014691387175327243,0.11146657643135197
-0.04866204059194673,0.03102287627805415
-0.053591821343785886,-0.321783330148228
-0.06840222065120558,-0.4453224916201916
-0.06204836256671674,-0.7562903854245253
-0.07144735453093198,-0.5780788465757869
