c_obs,i_obs
0.033776298798707124,0.023014045473190383
0.02802659222206782,0.007648971688519142
0.015022824449646664,-0.046956587826503866
0.021181070087690726,-0.03671712103672794
0.010157431618019894,-0.05759737942156735
0.015235097613152468,-0.014647182183371667
0.028237402052845997,0.038294080847587134
0.025943944477775226,0.03145889609262318
0.02171548762165536,0.012625080261158241
0.026632728990980188,0.012269502282456001
0.02126743530317546,0.0022125754867588243
0.014725830780099222,-0.030260316022656518
0.012457805632151955,-0.034034076819901136
0.012553949425252198,-0.0144350862506001
0.013308916286495102,-0.019806486263724516
0.01465313998625135,-0.01981320703209937
0.014951307088774596,-0.003565946153895264
0.015528091645734468,0.02969190734713587
0.01994047421139818,0.019586168489395723
0.022204100139642857,0.04178728224733806
0.03269158196076234,0.07304747475264124
0.02964018540283097,0.04097214278404063
0.026087507124027746,0.04065946484902187
0.025758689329035953,0.05154511304454024
0.028987596041936743,0.06703229982546732
0.03148586938312553,0.05536151109992646
0.03624995301946191,0.08472325497045408
0.03098894955308283,0.032700472232601606
0.04011940129665917,0.0486114685756989
0.03358149276597186,0.00362056153535183
0.032494796174910155,0.0193625895878913
0.028784452469472397,-0.0059010556167881255
0.03414703193136857,0.02603651775133982
0.03673662947191624,0.03048473749850567
0.02852242583476247,0.029213334227714917
0.03233460780236879,0.047237927941183824
0.03523767707339613,0.036657739695501
0.033964783424638934,0.018306668193556457
0.027235468717554098,0.010192508610367019
0.02808515434965959,-0.023237436226070926
0.024024383534691416,-0.04296107708610432
0.020743891299524503,-0.011339001942611846
0.021576829995628634,-0.04246572165973464
0.02065019166750455,-0.009906898139934542
0.025221204655231432,0.0010055229413220108
0.0181440610013484,-0.030223616957620835
0.023410287813767278,-0.02144655402208277
0.011223018106793022,-0.035628993226481
0.02842915466310398,0.025152961205544448
0.010053704719926558,-0.02122383690759814
0.008009877104505592,-0.028244463214844355
0.014903250969236316,0.013598796710171161
0.007744234166214278,-0.007956729499071006
0.012109424852794148,-0.00830470061710878
0.011697073356843392,-0.011098876170254757
0.011101557691466368,-0.0222135395515049
0.00645754621594935,-0.015577095724882696
0.005567013672583037,-0.03423074081540758
0.007438881205077137,-0.010531670852414854
0.008854762074083786,0.003833509216004528
0.00596284020534396,0.016284226248231472
0.018718998764219928,0.04435937585455933
0.01085497825499852,0.021678792534326117
0.010402062438818485,0.0084404992839338
0.014251487879137454,0.009108298400500517
0.003233054629978869,-0.038725661604639534
0.0072480447243051796,-0.002858256771426423
0.014035989067416547,0.03447734420484898
0.015484108895266772,0.012437248860348617
0.012032322048957931,0.012851580120625069
0.003306008202863883,-0.022903503393391117
0.008373490143913887,0.004227057358591422
0.007574629136790473,-0.02044148367904406
0.007532834170773528,-0.013659525895053103
0.007679004403744737,-0.003977360980574333
0.010161747820278257,0.010204576552647582
0.01374728772469335,0.019695157256733976
0.012302055944104346,0.03490119534577466
0.0024067580894945985,-0.02488653736196483
0.00968832830448228,-0.0020015463993825343
0.005883991561143683,-0.028355421848683535
0.002147952114177754,-0.02101952308483437
0.00951034064376888,-0.012277546353501721
-0.006153291603451725,-0.024567386646865735
0.0015817076838501192,-0.01961768075100695
0.003862599467452603,-0.0012123691024025218
0.011116017580269071,0.011157409836339203
0.00258138147979269,0.0016745191547023826
-0.0022135859479625432,-0.016318926730522664
-0.006877450221319484,-0.03688802511056828
-0.001301733364419673,-0.012812577742516975
0.0023768408043179897,0.005339559633736327
-0.0024194090775963486,0.0034975223919130366
0.0017578624133485193,-0.023914324245076352
-0.007283152580319263,-0.034450353587523054
-0.0047258661283733315,-0.006549983868659348
0.0007136340150082998,0.004380289787455227
-0.009816931999993278,-0.05099752133810502
-0.009945614575936504,-0.03121819066628543
0.0015325010633162996,0.010638097224342138
-0.01231095115581549,-0.03552641813578367
-0.01621920520430759,-0.036778638776659926
-0.012056491248915379,-0.04257769470833063
0.0023028732708412552,0.057745488062147965
0.0008714672750153984,0.06112717484625878
0.010205304050888035,0.038315924495093266
0.012718589740981941,0.045773603772918586
0.0031600064935462316,0.03320715861359613
0.010628382356577228,0.055992656455820994
0.02109196681551559,0.06575234044191981
0.020795604175579706,0.06854119659819466
0.016300713614312852,0.04453505537904214
0.018809472662150058,0.06895876393155784
0.02065594315649012,0.0486078758740796
