y_obs,ca_obs,r_obs
0.023547866557448706,-2.2334676462850336,-0.11494859012535345
-0.012375963532335641,-2.1080855112907853,-0.055720542955450994
0.019883690857708063,-2.1723755426024813,-0.11763311006529065
-0.002707450435236532,-2.3066681039718837,-0.026389587804993096
-0.03149265243238429,-2.1674453529776465,0.06866906105616552
-0.0413435753581743,-1.9713781923994156,-0.020189442528855277
-0.05868028524315273,-2.132414446228895,-0.0496841330651533
-0.042822528779945024,-2.004508815182116,-0.09100031422069527
-0.06354666562910137,-2.146802664971547,0.06125659152057154
-0.09355758745270695,-2.2436372946695498,0.16015885831400054
-0.08905931435831163,-2.198393480371751,0.2593947328543429
-0.12931724856775298,-2.338408166005918,0.3808422050282551
-0.1762848985764508,-2.327645793032834,0.40904193677751605
-0.20636003826022187,-2.20743105055193,0.47255507692556675
-0.20976371120164666,-2.008005054272659,0.4810196068417226
-0.18692380806636993,-2.04991889351357,0.32026256452210544
-0.17617187421503822,-2.0671967755763303,0.30996347768819654
-0.17967585813406478,-2.264727282036802,0.3812634463256243
-0.2490825985599323,-2.3795328248741727,0.6226590907763075
-0.3214351418183855,-2.4378934451377385,0.8052105670495234
-0.3658952305627009,-2.2811329794515958,0.8849393124154794
-0.4334294931934889,-2.3018837131680403,0.9175748842655101
-0.4330504512998474,-2.179361740331295,0.9010353591140436
-0.461423560509446,-2.3053160158055017,1.0085028399497658
-0.4605981134266814,-2.0057331046534412,0.9856001745632506
-0.4719788476338298,-2.102391366398574,0.8636481663539788
-0.45144663911895605,-2.3854102652980034,0.9665727284251614
-0.5175248271527928,-2.432369233266274,1.1496061023414788
-0.5602413403905521,-2.334599755714984,1.2785342543462144
-0.641294165672635,-2.404288025580417,1.3778948971361076
-0.6628771673472416,-2.4152088869281143,1.4939758057973016
-0.6784103271258517,-2.394124666973392,1.6119714271924355
-0.7135493146853228,-2.4651441575287225,1.743860874118786
-0.787603626926233,-2.530008674556309,1.7352036614947508
-0.8077304806652148,-2.5917131213719977,1.9091991074350285
-0.874617614238236,-2.6671311238947766,2.0483684254694627
-0.9049316058855705,-2.6454347578704485,2.145861478099208
-0.9482771103346139,-2.6561836915499777,2.2403795547525713
-1.0367903127576723,-2.6931174085640963,2.339963438253957
-1.0804273252193353,-2.6241051721302995,2.48742324880825
-1.0877912421902636,-2.5973194871858722,2.556846867992922
-1.1508281702560268,-2.660853745079094,2.6103183560989414
-1.15947944597475,-2.686973073298053,2.725593010962776
-1.168324963614213,-2.4661047129491664,2.629372498281568
-1.1606592450240463,-2.38461592845504,2.5592915660406663
-1.1299012498718763,-2.2985560655441195,2.611954729665754
-1.1481250601680553,-2.324123158597835,2.5773157132067093
-1.1837275825217624,-2.4864738082993703,2.6250010238988977
-1.1892129716186493,-2.4929593828658243,2.7573131628335785
-1.195236498747448,-2.444500184507307,2.7892691648518686
-1.2131962884623497,-2.646498031503528,2.799111603034728
-1.2358677175749804,-2.785634933405254,2.940053195723623
-1.2982405498466776,-2.8013354933615062,3.19242454560734
-1.3089996799125194,-2.7894369788324105,3.304870964289413
-1.4651238646328943,-2.8709566185698723,3.441873588499906
-1.4903088114587129,-2.7287142067174734,3.5211280578987014
-1.5043037705517603,-2.8002583283196523,3.5333780326234994
-1.5133988488694041,-2.8626664537367055,3.6999524118539306
-1.607487197432273,-2.8674709458847834,3.879113133195962
-1.679855270924149,-2.811414996033511,3.936905120780073
-1.6889455341229773,-2.7555728159773833,4.011689969805681
-1.7226372999374797,-2.7744312341850565,4.0792907800104485
-1.7052767112996219,-2.7470124202128807,4.054197764696617
-1.7305243036196107,-2.763364850587004,4.102376255678043
-1.7681188649252424,-2.8061534687509995,4.117619188422899
-1.7767369797736445,-2.804521164134184,4.150814113442294
-1.779748414721773,-2.8729091883890723,4.2156823218849615
